,URL,Date,Monthly Rent,Bedrooms,Bathrooms,Area in sqft,Distance
37,https://boston.craigslist.org/gbs/apa/d/somerville-amazing-medford-bed-bath/7514282360.html,Wed 27 Jul 11:02:44 PM,3295.0,4,1.0,,4.92421
38,https://boston.craigslist.org/bmw/apa/d/framingham-fully-renovated-bed-bath/7514277771.html,Wed 27 Jul 10:40:34 PM,2000.0,4,1.0,,
39,https://boston.craigslist.org/gbs/apa/d/arlington-arlington-rooms-bedrooms/7514277397.html,Wed 27 Jul 10:38:46 PM,2075.0,2,1.0,,8.18928
40,https://boston.craigslist.org/gbs/apa/d/medford-ready-31-gut-renovation-br-bath/7514273512.html,Wed 27 Jul 10:20:36 PM,3600.0,3,1.0,1300,6.03923
41,https://boston.craigslist.org/gbs/apa/d/cambridge-arlington-rooms-25-bedrooms/7514272082.html,Wed 27 Jul 10:14:19 PM,1600.0,2,1.0,1300,6.64149
42,https://boston.craigslist.org/bmw/apa/d/auburndale-no-fee-bed-bath/7514264032.html,Wed 27 Jul 09:41:12 PM,2550.0,2,1.0,,10.4329
43,https://boston.craigslist.org/gbs/apa/d/somerville-solid-bedroom-apt-with-heat/7514261806.html,Wed 27 Jul 09:32:48 PM,2000.0,1,1.0,600,4.64457
44,https://boston.craigslist.org/gbs/apa/d/somerville-2br-ba-with-garage-parking/7514242446.html,Wed 27 Jul 08:28:55 PM,2000.0,2,1.0,1200,5.51567
45,https://boston.craigslist.org/gbs/apa/d/brighton-ideal-location-comm-ave-green/7514227531.html,Wed 27 Jul 07:44:58 PM,2200.0,1,1.0,,4.90487
46,https://boston.craigslist.org/gbs/apa/d/new-town-brand-new-remodeled-off-street/7514225932.html,Wed 27 Jul 07:40:19 PM,5000.0,4,2.0,,4.56339
47,https://boston.craigslist.org/gbs/apa/d/brighton-wow-brighton-brookline-bed/7514224514.html,Wed 27 Jul 07:36:22 PM,5600.0,5,4.0,,5.26031
48,https://boston.craigslist.org/gbs/apa/d/brighton-brand-new-renovation-bu-bc/7514224055.html,Wed 27 Jul 07:35:08 PM,3295.0,2,1.0,,5.26031
49,https://boston.craigslist.org/gbs/apa/d/brighton-stunning-newly-renovated-new/7514223152.html,Wed 27 Jul 07:32:34 PM,2875.0,1,1.0,,5.26031
50,https://boston.craigslist.org/gbs/apa/d/somerville-somerville-big-bedrooms/7514220295.html,Wed 27 Jul 07:24:47 PM,3700.0,4,2.0,,4.20778
51,https://boston.craigslist.org/gbs/apa/d/boston-north-end-bath-washerdryer-in/7514218479.html,Wed 27 Jul 07:19:41 PM,8000.0,4,3.0,,1.44456
52,https://boston.craigslist.org/gbs/apa/d/brighton-stunning-newly-renovated-bed/7514217408.html,Wed 27 Jul 07:16:31 PM,2975.0,3,1.0,,6.21316
53,https://boston.craigslist.org/gbs/apa/d/brighton-no-broker-fee-brookline-boston/7514215967.html,Wed 27 Jul 07:12:41 PM,2200.0,1,1.0,,5.48372
54,https://boston.craigslist.org/gbs/apa/d/south-boston-bed-bath-south-boston-east/7514213088.html,Wed 27 Jul 07:05:01 PM,3000.0,2,1.0,720,1.19609
55,https://boston.craigslist.org/gbs/apa/d/arlington-east-arlington-modern-bedroom/7514212913.html,Wed 27 Jul 07:04:28 PM,2000.0,1,1.0,,6.758
56,https://boston.craigslist.org/bmw/apa/d/lexington-studio-apartment-in-victorian/7514211893.html,Wed 27 Jul 07:01:47 PM,900.0,0,1.0,300,10.70354
57,https://boston.craigslist.org/gbs/apa/d/somerville-spring-hill-porter-sq-br/7514210736.html,Wed 27 Jul 06:58:51 PM,2425.0,1,1.0,,4.23579
58,https://boston.craigslist.org/gbs/apa/d/cambridge-1-priv-suite-inc-solarium/7514209371.html,Wed 27 Jul 06:54:56 PM,990.0,1,1.0,500,3.37354
59,https://boston.craigslist.org/bmw/apa/d/franklin-white-appliances-smart-home/7514206783.html,Wed 27 Jul 06:47:54 PM,2327.0,2,2.0,1031,25.40659
60,https://boston.craigslist.org/sob/apa/d/east-walpole-window-coverings-shaker/7514205991.html,Wed 27 Jul 06:45:53 PM,3138.0,3,2.0,1210,15.03053
61,https://boston.craigslist.org/sob/apa/d/braintree-elevator-cable-ready-upgraded/7514205273.html,Wed 27 Jul 06:44:01 PM,2375.0,1,1.0,937,9.4092
62,https://boston.craigslist.org/gbs/apa/d/somerville-somerville-porter-square/7514205253.html,Wed 27 Jul 06:43:58 PM,2500.0,2,1.0,,4.61199
63,https://boston.craigslist.org/sob/apa/d/foxboro-billiards-attached-garages/7514204420.html,Wed 27 Jul 06:41:55 PM,2860.0,2,2.0,1234,21.887
64,https://boston.craigslist.org/gbs/apa/d/arlington-arlington-bedroom-parking-for/7514203878.html,Wed 27 Jul 06:40:30 PM,2600.0,2,1.0,,7.73989
65,https://boston.craigslist.org/nwb/apa/d/tewksbury-self-cleaning-oven-tile/7514203588.html,Wed 27 Jul 06:39:47 PM,2850.0,2,1.0,1063,20.00355
66,https://boston.craigslist.org/gbs/apa/d/somerville-nice-modern-two-br-parking/7514202968.html,Wed 27 Jul 06:38:14 PM,2700.0,2,1.0,,4.61361
67,https://boston.craigslist.org/sob/apa/d/braintree-custom-built-in-closet/7514202833.html,Wed 27 Jul 06:37:54 PM,3081.0,2,2.0,1330,10.33643
68,https://boston.craigslist.org/nos/apa/d/woburn-washer-and-dryer-premium/7514202073.html,Wed 27 Jul 06:35:57 PM,3594.0,2,2.0,1526,11.13703
69,https://boston.craigslist.org/gbs/apa/d/boston-rooftop-grilling-area-rooftop/7514201297.html,Wed 27 Jul 06:33:54 PM,4775.0,1,1.0,901,1.80581
70,https://boston.craigslist.org/gbs/apa/d/cambridge-perfectly-renovated-study-in/7514201106.html,Wed 27 Jul 06:33:28 PM,3200.0,2,1.0,,3.29864
71,https://boston.craigslist.org/bmw/apa/d/waltham-leed-certified-gold-wood-plank/7514200396.html,Wed 27 Jul 06:31:48 PM,2986.0,1,1.0,861,9.00837
