,URL,Date,Monthly Rent,Bedrooms,Bathrooms,Area in sqft,Distance
37,https://boston.craigslist.org/gbs/apa/d/brighton-pet-friendly-1bd-split-w-in/7514440160.html,Thu 28 Jul 12:34:10 PM,2750.0,1,1.0,,5.56327
38,https://boston.craigslist.org/gbs/apa/d/somerville-awesome-bed-quiet-street-sep/7514439227.html,Thu 28 Jul 12:32:19 PM,2400.0,2,1.0,,4.43625
39,https://boston.craigslist.org/gbs/apa/d/boston-north-end-apartment-available-1/7514436511.html,Thu 28 Jul 12:26:45 PM,2500.0,1,1.0,,1.46186
40,https://boston.craigslist.org/gbs/apa/d/somerville-winter-hill-nice-bed-bath-1/7514436430.html,Thu 28 Jul 12:26:34 PM,2400.0,2,1.0,,4.42505
41,https://boston.craigslist.org/gbs/apa/d/cambridge-north-cambridge-alewife-bed/7514431443.html,Thu 28 Jul 12:16:54 PM,1900.0,1,1.0,,5.78295
42,https://boston.craigslist.org/gbs/apa/d/arlington-amazing-5bed-2bath4995-heat/7514428430.html,Thu 28 Jul 12:11:18 PM,4995.0,5,2.0,,8.22635
43,https://boston.craigslist.org/gbs/apa/d/jamaica-plain-elegant-spacious-studio/7514423364.html,Thu 28 Jul 12:02:02 PM,2100.0,1,1.0,800,4.14997
44,https://boston.craigslist.org/gbs/apa/d/arlington-great-value-1bed-1bath2150/7514421562.html,Thu 28 Jul 11:58:47 AM,2150.0,1,1.0,,8.22635
45,https://boston.craigslist.org/gbs/apa/d/medford-winter-hill-bedroom/7514420630.html,Thu 28 Jul 11:56:47 AM,2400.0,2,1.0,,6.24212
46,https://boston.craigslist.org/gbs/apa/d/arlington-great-value-studio-1bath1850/7514415473.html,Thu 28 Jul 11:45:46 AM,1850.0,0,1.0,,8.22635
47,https://boston.craigslist.org/gbs/apa/d/brighton-rare-updated-bed-oak-square/7514408051.html,Thu 28 Jul 11:29:44 AM,2300.0,1,1.0,,5.36851
48,https://boston.craigslist.org/gbs/apa/d/roxbury-rooms-for-rent-furnished/7514407795.html,Thu 28 Jul 11:29:09 AM,1250.0,3,1.0,,3.1795
49,https://boston.craigslist.org/gbs/apa/d/chestnut-hill-one-bedroom-at-broadlawn/7514404330.html,Thu 28 Jul 11:21:44 AM,2300.0,1,1.0,780,6.92266
50,https://boston.craigslist.org/gbs/apa/d/jamaica-plain-sept-gorgeous-jamaica/7514395117.html,Thu 28 Jul 11:01:22 AM,2600.0,1,1.0,1000,3.78027
51,https://boston.craigslist.org/gbs/apa/d/jamaica-plain-one-bed-jul-sept-move-in/7514394371.html,Thu 28 Jul 10:59:58 AM,2300.0,1,1.0,624,4.03658
52,https://boston.craigslist.org/gbs/apa/d/jamaica-plain-one-bed-jul-sept-move-in/7514394182.html,Thu 28 Jul 10:59:31 AM,1.0,1,1.0,624,4.03658
53,https://boston.craigslist.org/gbs/apa/d/mattapan-no-security-deposit-bedroom/7514391299.html,Thu 28 Jul 10:52:53 AM,2900.0,3,1.0,,5.53021
54,https://boston.craigslist.org/gbs/apa/d/brighton-bedroom-in-boston-brighton/7514387601.html,Thu 28 Jul 10:44:13 AM,2700.0,2,1.0,800,5.68072
55,https://boston.craigslist.org/gbs/apa/d/watertown-charming-br-stdy-shrd-yard/7514382371.html,Thu 28 Jul 10:32:14 AM,2100.0,1,1.0,,7.02573
56,https://boston.craigslist.org/gbs/apa/d/brighton-roomy-bed-ba-apartment-close/7514377741.html,Thu 28 Jul 10:21:39 AM,2100.0,2,1.0,,5.89694
57,https://boston.craigslist.org/gbs/apa/d/cambridge-studio-1bed-2bed-bed-starting/7514375649.html,Thu 28 Jul 10:16:29 AM,2924.0,1,1.0,,2.59323
58,https://boston.craigslist.org/gbs/apa/d/somerville-sunny-spacious-davis-sq/7514372348.html,Thu 28 Jul 10:08:49 AM,1800.0,0,1.0,,5.32801
59,https://boston.craigslist.org/gbs/apa/d/winthrop-amazing-apartment-in-winthrop/7514370338.html,Thu 28 Jul 10:03:43 AM,2175.0,3,1.0,,3.60162
60,https://boston.craigslist.org/gbs/apa/d/nahant-beautiful-apartment-in-nahant-ma/7514364453.html,Thu 28 Jul 09:48:48 AM,1675.0,1,1.0,,8.33995
